dataset,model,target,window_id,cutoff_timestamp,context_length,prediction_length,mae,rmse,smape,mase,inference_time_seconds
ETTh1,chronos2,OT,0,2018-06-06 19:00:00,512,24,0.4043642580509186,0.49090948700904846,3.594163179397583,0.3020077645778656,0.0572236999978486
ETTh1,chronos2,OT,1,2018-06-07 19:00:00,512,24,0.9301467537879944,1.2423069477081299,8.732762336730957,0.7254692912101746,0.057432699999480974
ETTh1,chronos2,OT,2,2018-06-08 19:00:00,512,24,1.9297590255737305,2.791145086288452,26.03533363342285,1.7344584465026855,0.09334730000045965
ETTh1,chronos2,OT,3,2018-06-09 19:00:00,512,24,0.9969972968101501,1.0982125997543335,12.755473136901855,0.8535276651382446,0.06049459999849205
ETTh1,chronos2,OT,4,2018-06-10 19:00:00,512,24,0.6778599619865417,0.8731318116188049,7.0211944580078125,0.55767422914505,0.061167899999418296
ETTh1,chronos2,OT,5,2018-06-11 19:00:00,512,24,0.751735508441925,1.133882761001587,6.542177677154541,0.6167702674865723,0.06654859999980545
ETTh1,chronos2,OT,6,2018-06-12 19:00:00,512,24,0.6974002718925476,0.8066150546073914,6.004870891571045,0.5676228404045105,0.056145200000173645
ETTh1,chronos2,OT,7,2018-06-13 19:00:00,512,24,0.4896205961704254,0.5843660235404968,4.308321475982666,0.4201517701148987,0.04437529999995604
ETTh1,chronos2,OT,8,2018-06-14 19:00:00,512,24,0.3409821689128876,0.4341738522052765,3.135586977005005,0.29369279742240906,0.0598162999995111
ETTh1,chronos2,OT,9,2018-06-15 19:00:00,512,24,0.831782341003418,0.8850730657577515,8.609809875488281,0.7472235560417175,0.04671700000108103
ETTh1,chronos2,OT,10,2018-06-16 19:00:00,512,24,0.6079773902893066,0.6814543008804321,6.443577289581299,0.5422990918159485,0.03272360000119079
ETTh1,chronos2,OT,11,2018-06-17 19:00:00,512,24,0.38989683985710144,0.4678627550601959,3.780771255493164,0.35203760862350464,0.046958100003394065
ETTh1,chronos2,OT,12,2018-06-18 19:00:00,512,24,2.226217269897461,3.338460922241211,24.182641983032227,1.9725755453109741,0.05293730000266805
ETTh1,chronos2,OT,13,2018-06-19 19:00:00,512,24,1.553397536277771,1.6964517831802368,18.95679473876953,1.3058595657348633,0.060083700001996476
ETTh1,chronos2,OT,14,2018-06-20 19:00:00,512,24,0.5518700480461121,0.6780033111572266,5.86784029006958,0.42456695437431335,0.04867680000097607
ETTh1,chronos2,OT,15,2018-06-21 19:00:00,512,24,2.4442245960235596,3.2965314388275146,33.86448287963867,1.8573280572891235,0.04082579999885638
ETTh1,chronos2,OT,16,2018-06-22 19:00:00,512,24,0.7159068584442139,0.8305244445800781,10.232232093811035,0.5120898485183716,0.03774360000170418
ETTh1,chronos2,OT,17,2018-06-23 19:00:00,512,24,0.6237540245056152,0.7225646376609802,7.893893718719482,0.4232998490333557,0.0583452999999281
ETTh1,chronos2,OT,18,2018-06-24 19:00:00,512,24,1.1667941808700562,1.3769415616989136,11.942288398742676,0.7843865156173706,0.038955100000748644
ETTh1,chronos2,OT,19,2018-06-25 19:00:00,512,24,0.578787624835968,0.7320002317428589,5.711988925933838,0.37503018975257874,0.04203090000009979
ETTh1,chronos2,OT,0,2018-04-07 19:00:00,512,96,2.611407995223999,2.987140655517578,32.60697555541992,1.3133567571640015,0.04034959999989951
ETTh1,chronos2,OT,1,2018-04-11 19:00:00,512,96,2.606825351715088,2.897761106491089,40.367767333984375,1.3139036893844604,0.045100600000296254
ETTh1,chronos2,OT,2,2018-04-15 19:00:00,512,96,1.3412920236587524,1.6961333751678467,15.86280345916748,0.6312814354896545,0.045056300001306226
ETTh1,chronos2,OT,3,2018-04-19 19:00:00,512,96,1.8454147577285767,2.492201566696167,22.93247413635254,0.8930819630622864,0.06092979999812087
ETTh1,chronos2,OT,4,2018-04-23 19:00:00,512,96,2.7024872303009033,2.999704122543335,33.23354721069336,1.3106275796890259,0.04782810000324389
ETTh1,chronos2,OT,5,2018-04-27 19:00:00,512,96,2.4652721881866455,3.0240962505340576,21.965044021606445,1.477327585220337,0.03868929999953252
ETTh1,chronos2,OT,6,2018-05-01 19:00:00,512,96,3.4802963733673096,3.6974735260009766,39.23561096191406,2.1762137413024902,0.03341220000220346
ETTh1,chronos2,OT,7,2018-05-05 19:00:00,512,96,2.161353826522827,2.4341788291931152,22.283266067504883,1.2874263525009155,0.03386809999938123
ETTh1,chronos2,OT,8,2018-05-09 19:00:00,512,96,1.4846816062927246,1.7685825824737549,14.929272651672363,0.8340946435928345,0.033813699999882374
ETTh1,chronos2,OT,9,2018-05-13 19:00:00,512,96,3.048207998275757,3.452705144882202,22.939300537109375,1.6911251544952393,0.038625599998340476
ETTh1,chronos2,OT,10,2018-05-17 19:00:00,512,96,4.35708475112915,4.877459526062012,45.49819564819336,2.4301137924194336,0.042574000002787216
ETTh1,chronos2,OT,11,2018-05-21 19:00:00,512,96,1.012117624282837,1.3312788009643555,12.503890991210938,0.5026969909667969,0.04267760000220733
ETTh1,chronos2,OT,12,2018-05-25 19:00:00,512,96,0.431856632232666,0.6046497821807861,4.540401458740234,0.23568716645240784,0.046508399998856476
ETTh1,chronos2,OT,13,2018-05-29 19:00:00,512,96,0.5672498345375061,0.6970863938331604,5.629953384399414,0.3377137780189514,0.05187870000008843
ETTh1,chronos2,OT,14,2018-06-02 19:00:00,512,96,1.4818391799926758,1.7342301607131958,15.108538627624512,0.9573947787284851,0.03279640000255313
ETTh1,chronos2,OT,15,2018-06-06 19:00:00,512,96,1.591809630393982,2.227698564529419,18.03740882873535,1.188875675201416,0.05345780000061495
