dataset,model,target,window_id,cutoff_timestamp,context_length,prediction_length,mae,rmse,smape,mase,inference_time_seconds
ETTh1,timesfm3,OT,0,2018-06-06 19:00:00,512,24,0.5600016713142395,0.6085392236709595,5.081325054168701,0.4182487428188324,1.1322161000025517
ETTh1,timesfm3,OT,1,2018-06-07 19:00:00,512,24,0.9903704524040222,1.2801662683486938,9.283761024475098,0.7724408507347107,0.4636644000020169
ETTh1,timesfm3,OT,2,2018-06-08 19:00:00,512,24,2.0517637729644775,2.9349374771118164,27.213783264160156,1.8441157341003418,0.5620589999998629
ETTh1,timesfm3,OT,3,2018-06-09 19:00:00,512,24,0.857143223285675,0.9346126317977905,10.959151268005371,0.7337988018989563,0.401580699999613
ETTh1,timesfm3,OT,4,2018-06-10 19:00:00,512,24,0.7160612940788269,0.9154850244522095,7.429934024810791,0.5891024470329285,0.5412488999972993
ETTh1,timesfm3,OT,5,2018-06-11 19:00:00,512,24,0.8835735321044922,1.2766321897506714,7.791922092437744,0.7249383330345154,0.4736981999994896
ETTh1,timesfm3,OT,6,2018-06-12 19:00:00,512,24,0.9684078097343445,1.0699090957641602,8.45622730255127,0.7881993055343628,0.4578841000002285
ETTh1,timesfm3,OT,7,2018-06-13 19:00:00,512,24,0.3558903932571411,0.42728888988494873,3.155794143676758,0.30539560317993164,0.48915320000014617
ETTh1,timesfm3,OT,8,2018-06-14 19:00:00,512,24,0.34283527731895447,0.4328022301197052,3.1514692306518555,0.29528889060020447,0.3230149999981222
ETTh1,timesfm3,OT,9,2018-06-15 19:00:00,512,24,0.9011557698249817,0.9530673027038574,9.26583480834961,0.8095445036888123,0.2978253000001132
ETTh1,timesfm3,OT,10,2018-06-16 19:00:00,512,24,0.7260830402374268,0.8118821978569031,7.673165798187256,0.6476461291313171,0.38232349999816506
ETTh1,timesfm3,OT,11,2018-06-17 19:00:00,512,24,0.38347938656806946,0.462089478969574,3.729933977127075,0.346243292093277,0.3467025000027206
ETTh1,timesfm3,OT,12,2018-06-18 19:00:00,512,24,2.1810014247894287,3.3690969944000244,23.6735782623291,1.932511329650879,0.24591399999917485
ETTh1,timesfm3,OT,13,2018-06-19 19:00:00,512,24,1.3509641885757446,1.4713793992996216,16.891748428344727,1.1356844902038574,0.252187000001868
ETTh1,timesfm3,OT,14,2018-06-20 19:00:00,512,24,0.42848658561706543,0.5145888328552246,4.631619930267334,0.3296450674533844,0.2666315000024042
ETTh1,timesfm3,OT,15,2018-06-21 19:00:00,512,24,2.355891466140747,3.0654444694519043,33.24673080444336,1.7902050018310547,0.21122430000104941
ETTh1,timesfm3,OT,16,2018-06-22 19:00:00,512,24,0.45674431324005127,0.5664344429969788,6.852950572967529,0.3267102837562561,0.3535403999994742
ETTh1,timesfm3,OT,17,2018-06-23 19:00:00,512,24,0.4662644863128662,0.5504553914070129,5.870667934417725,0.31642231345176697,0.35936690000016824
ETTh1,timesfm3,OT,18,2018-06-24 19:00:00,512,24,1.186732292175293,1.4046943187713623,12.162623405456543,0.7977900505065918,0.40797030000248924
ETTh1,timesfm3,OT,19,2018-06-25 19:00:00,512,24,0.8148652911186218,1.0135184526443481,7.934851169586182,0.5279986262321472,0.44187980000060634
ETTh1,timesfm3,OT,0,2018-04-07 19:00:00,512,96,3.5344793796539307,4.004491806030273,47.54903030395508,1.777597427368164,0.5190705999993952
ETTh1,timesfm3,OT,1,2018-04-11 19:00:00,512,96,2.4254772663116455,2.7059972286224365,38.21470260620117,1.2224998474121094,0.37383439999757684
ETTh1,timesfm3,OT,2,2018-04-15 19:00:00,512,96,1.4794303178787231,1.8218575716018677,17.800630569458008,0.6962965130805969,0.5252948000015749
ETTh1,timesfm3,OT,3,2018-04-19 19:00:00,512,96,2.1969187259674072,2.6357228755950928,27.719202041625977,1.0631910562515259,0.37700279999990016
ETTh1,timesfm3,OT,4,2018-04-23 19:00:00,512,96,1.7678457498550415,1.9958266019821167,20.95911979675293,0.857353687286377,0.2799869000009494
ETTh1,timesfm3,OT,5,2018-04-27 19:00:00,512,96,2.9481918811798096,3.464383602142334,26.71319580078125,1.7667198181152344,0.22100339999815333
ETTh1,timesfm3,OT,6,2018-05-01 19:00:00,512,96,2.757744789123535,3.042525053024292,31.17689323425293,1.7244054079055786,0.2205190999993647
ETTh1,timesfm3,OT,7,2018-05-05 19:00:00,512,96,2.6637814044952393,2.985196828842163,26.50156593322754,1.5867010354995728,0.261261799998465
ETTh1,timesfm3,OT,8,2018-05-09 19:00:00,512,96,1.710383415222168,1.975219964981079,17.20231056213379,0.960893988609314,0.39594100000249455
ETTh1,timesfm3,OT,9,2018-05-13 19:00:00,512,96,3.3858158588409424,3.7635436058044434,25.805307388305664,1.8784277439117432,0.3752932999996119
ETTh1,timesfm3,OT,10,2018-05-17 19:00:00,512,96,5.085997104644775,5.718356609344482,50.75010299682617,2.836656332015991,0.366164300001401
ETTh1,timesfm3,OT,11,2018-05-21 19:00:00,512,96,0.9798195362091064,1.2755348682403564,12.141712188720703,0.48665526509284973,0.2789335999987088
ETTh1,timesfm3,OT,12,2018-05-25 19:00:00,512,96,1.20992910861969,1.348795771598816,12.692047119140625,0.6603227853775024,0.3373284000008425
ETTh1,timesfm3,OT,13,2018-05-29 19:00:00,512,96,0.4972711503505707,0.6117535829544067,4.941817760467529,0.2960517704486847,0.20126810000147088
ETTh1,timesfm3,OT,14,2018-06-02 19:00:00,512,96,0.8549143671989441,1.155329942703247,8.263775825500488,0.5523477792739868,0.22818819999884
ETTh1,timesfm3,OT,15,2018-06-06 19:00:00,512,96,1.6912590265274048,2.3353426456451416,18.940265655517578,1.2631515264511108,0.267628199999308
ETTh1,timesfm3,OT,16,2018-06-10 19:00:00,512,96,1.5626291036605835,1.7925657033920288,14.868145942687988,1.2855722904205322,0.2221728999975312
ETTh1,timesfm3,OT,17,2018-06-14 19:00:00,512,96,0.7972726821899414,0.9841375350952148,8.20729923248291,0.686702311038971,0.24252980000164825
ETTh1,timesfm3,OT,18,2018-06-18 19:00:00,512,96,2.7825682163238525,3.386497974395752,31.579954147338867,2.4655392169952393,0.3326682999977493
ETTh1,timesfm3,OT,19,2018-06-22 19:00:00,512,96,0.7507531642913818,1.0016268491744995,8.683506965637207,0.5370154976844788,0.26161920000231476
ETTh1,timesfm3,OT,0,2018-01-17 19:00:00,512,192,2.0481860637664795,2.7088935375213623,64.51406860351562,1.131395936012268,0.3292457999996259
ETTh1,timesfm3,OT,1,2018-01-25 19:00:00,512,192,5.846431732177734,6.423470497131348,173.0823211669922,3.5944952964782715,0.3376322000003711
ETTh1,timesfm3,OT,2,2018-02-02 19:00:00,512,192,1.6559820175170898,1.9406635761260986,62.62099075317383,1.0541120767593384,0.3426571000018157
ETTh1,timesfm3,OT,3,2018-02-10 19:00:00,512,192,1.3087615966796875,1.7092363834381104,33.54167556762695,0.8323339819908142,0.2781613000006473
ETTh1,timesfm3,OT,4,2018-02-18 19:00:00,512,192,1.5578702688217163,1.942482590675354,42.824954986572266,0.9907507300376892,0.27334849999897415
ETTh1,timesfm3,OT,5,2018-02-26 19:00:00,512,192,1.6159776449203491,1.9707069396972656,42.74299621582031,0.9956756830215454,0.22240360000068904
ETTh1,timesfm3,OT,6,2018-03-06 19:00:00,512,192,3.4354145526885986,4.15106201171875,64.33910369873047,1.8172993659973145,0.2045524999994086
ETTh1,timesfm3,OT,7,2018-03-14 19:00:00,512,192,2.685091018676758,3.1695098876953125,45.22636413574219,1.5140172243118286,0.21247269999730634
ETTh1,timesfm3,OT,8,2018-03-22 19:00:00,512,192,2.988542318344116,3.4647562503814697,33.9783821105957,1.4709736108779907,0.23100739999790676
ETTh1,timesfm3,OT,9,2018-03-30 19:00:00,512,192,3.910876512527466,4.387282848358154,63.730831146240234,2.236433982849121,0.23132170000098995
ETTh1,timesfm3,OT,10,2018-04-07 19:00:00,512,192,2.4288289546966553,3.0369322299957275,35.42930221557617,1.2215321063995361,0.2955700999991677
ETTh1,timesfm3,OT,11,2018-04-15 19:00:00,512,192,2.3782832622528076,2.8482789993286133,30.000762939453125,1.1193431615829468,0.3565810000000056
ETTh1,timesfm3,OT,12,2018-04-23 19:00:00,512,192,3.3574655055999756,3.9401981830596924,35.19399642944336,1.6282730102539062,0.4046225999991293
ETTh1,timesfm3,OT,13,2018-05-01 19:00:00,512,192,2.2041001319885254,2.5401957035064697,24.25370979309082,1.378213882446289,0.31203499999901396
ETTh1,timesfm3,OT,14,2018-05-09 19:00:00,512,192,2.915288209915161,3.3980424404144287,24.923248291015625,1.6378099918365479,0.3581114000007801
ETTh1,timesfm3,OT,15,2018-05-17 19:00:00,512,192,4.777876377105713,5.254096984863281,46.8582649230957,2.6648054122924805,0.21616139999969164
ETTh1,timesfm3,OT,16,2018-05-25 19:00:00,512,192,1.0963146686553955,1.2515567541122437,11.298069953918457,0.5983173251152039,0.20724839999820688
ETTh1,timesfm3,OT,17,2018-06-02 19:00:00,512,192,1.2377291917800903,1.6779218912124634,13.391727447509766,0.7996788620948792,0.23494159999972908
ETTh1,timesfm3,OT,18,2018-06-10 19:00:00,512,192,1.2726060152053833,1.5381712913513184,12.355117797851562,1.0469708442687988,0.2337243000001763
ETTh1,timesfm3,OT,19,2018-06-18 19:00:00,512,192,2.2414605617523193,2.793271780014038,25.440725326538086,1.9860820770263672,0.2268475999990187
